,Age,Embarked,Fare,Parch,Pclass,Sex,SibSp,Survived,Title
153,40,0,14,2,3,0,0,0,1
154,32,0,7,0,3,0,0,0,1
155,51,1,61,1,1,0,0,0,1
157,30,0,8,0,3,0,0,0,1
158,32,0,8,0,3,0,0,0,1
160,44,0,16,1,3,0,0,0,1
162,26,0,7,0,3,0,0,0,1
163,17,0,8,0,3,0,0,0,1
168,32,0,25,0,1,0,0,0,1
169,28,0,56,0,3,0,0,0,1
170,61,0,33,0,1,0,0,0,1
173,21,0,7,0,3,0,0,0,1
174,56,1,30,0,1,0,0,0,1
175,18,0,7,1,3,0,1,0,1
178,30,0,13,0,2,0,0,0,1
179,36,0,0,0,3,0,0,0,1
181,32,1,15,0,2,0,0,0,1
185,32,0,50,0,1,0,0,0,1
187,45,0,26,0,1,0,0,1,1
188,40,2,15,1,3,0,1,0,1
189,36,0,7,0,3,0,0,0,1
191,19,0,13,0,2,0,0,0,1
196,32,2,7,0,3,0,0,0,1
197,42,0,8,1,3,0,0,0,1
200,28,0,9,0,3,0,0,0,1
201,32,0,69,2,3,0,8,0,1
202,34,0,6,0,3,0,0,0,1
203,45,1,7,0,3,0,0,0,1
204,18,0,8,0,3,0,0,1,1
206,32,0,15,0,3,0,1,0,1
207,26,1,18,0,3,0,0,1,1
209,40,1,31,0,1,0,0,1,1
210,24,0,7,0,3,0,0,0,1
212,22,0,7,0,3,0,0,0,1
213,30,0,13,0,2,0,0,0,1
214,32,2,7,0,3,0,1,0,1
217,42,0,27,0,2,0,1,0,1
219,30,0,10,0,2,0,0,0,1
220,16,0,8,0,3,0,0,1,1
221,27,0,13,0,2,0,0,0,1
222,51,0,8,0,3,0,0,0,1
223,32,0,7,0,3,0,0,0,1
224,38,0,90,0,1,0,1,1,1
225,22,0,9,0,3,0,0,0,1
226,19,0,10,0,2,0,0,1,1
227,20,0,7,0,3,0,0,0,1
228,18,0,13,0,2,0,0,0,1
231,29,0,7,0,3,0,0,0,1
232,59,0,13,0,2,0,0,0,1
234,24,0,10,0,2,0,0,0,1
236,44,0,26,0,2,0,1,0,1
238,19,0,10,0,2,0,0,0,1
239,33,0,12,0,2,0,0,0,1
242,29,0,10,0,2,0,0,0,1
243,22,0,7,0,3,0,0,0,1
244,30,1,7,0,3,0,0,0,1
248,37,0,52,1,1,0,1,1,1
250,32,0,7,0,3,0,0,0,1
252,62,0,26,0,1,0,0,0,1
253,30,0,16,0,3,0,1,0,1
260,32,2,7,0,3,0,0,0,1
262,52,0,79,1,1,0,1,0,1
263,40,0,0,0,1,0,0,0,1
265,36,0,10,0,2,0,0,0,1
266,16,0,39,1,3,0,4,0,1
267,25,0,7,0,3,0,1,1,1
270,32,0,31,0,1,0,0,0,1
271,25,0,0,0,3,0,0,1,1
273,37,1,29,1,1,0,0,0,1
277,32,0,0,0,2,0,0,0,1
280,65,2,7,0,3,0,0,0,1
281,28,0,7,0,3,0,0,0,1
282,16,0,9,0,3,0,0,0,1
283,19,0,8,0,3,0,0,1,1
284,32,0,26,0,1,0,0,0,1
285,33,1,8,0,3,0,0,0,1
286,30,0,9,0,3,0,0,1,1
287,22,0,7,0,3,0,0,0,1
288,42,0,13,0,2,0,0,1,1
292,36,1,12,0,2,0,0,0,1
294,24,0,7,0,3,0,0,0,1
295,32,1,27,0,1,0,0,0,1
296,23,1,7,0,3,0,0,0,1
298,32,0,30,0,1,0,0,1,1
301,32,2,23,0,3,0,2,1,1
302,19,0,0,0,3,0,0,0,1
304,32,0,8,0,3,0,0,0,1
308,30,1,24,0,2,0,1,0,1
313,28,0,7,0,3,0,0,0,1
314,43,0,26,1,2,0,1,0,1
320,22,0,7,0,3,0,0,0,1
321,27,0,7,0,3,0,0,0,1
324,32,0,69,2,3,0,8,0,1
326,61,0,6,0,3,0,0,0,1
331,45,0,28,0,1,0,0,0,1
332,38,0,153,1,1,0,0,0,1
333,16,0,18,0,3,0,2,0,1
335,32,0,7,0,3,0,0,0,1
336,29,0,66,0,1,0,1,0,1
338,45,0,8,0,3,0,0,1,1
339,45,0,35,0,1,0,0,0,1
342,28,0,13,0,2,0,0,0,1
343,25,0,13,0,2,0,0,0,1
344,36,0,13,0,2,0,0,0,1
349,42,0,8,0,3,0,0,0,1
350,23,0,9,0,3,0,0,0,1
351,32,0,35,0,1,0,0,0,1
352,15,1,7,1,3,0,1,0,1
353,25,0,17,0,3,0,1,0,1
354,32,1,7,0,3,0,0,0,1
355,28,0,9,0,3,0,0,0,1
360,40,0,27,4,3,0,1,0,1
361,29,1,27,0,2,0,1,0,1
363,35,0,7,0,3,0,0,0,1
364,32,2,15,0,3,0,1,0,1
365,30,0,7,0,3,0,0,0,1
370,25,1,55,0,1,0,1,1,1
371,18,0,6,0,3,0,1,0,1
372,19,0,8,0,3,0,0,0,1
373,22,1,135,0,1,0,0,0,1
377,27,1,211,2,1,0,0,0,1
378,20,1,4,0,3,0,0,0,1
379,19,0,7,0,3,0,0,0,1
382,32,0,7,0,3,0,0,0,1
384,32,0,7,0,3,0,0,0,1
385,18,0,73,0,2,0,0,0,1
388,32,2,7,0,3,0,0,0,1
390,36,0,120,2,1,0,1,1,1
391,21,0,7,0,3,0,0,1,1
392,28,0,7,0,3,0,2,0,1
395,22,0,7,0,3,0,0,0,1
397,46,0,26,0,2,0,0,0,1
400,39,0,7,0,3,0,0,1,1
401,26,0,8,0,3,0,0,0,1
403,28,0,15,0,3,0,1,0,1
405,34,0,21,0,2,0,1,0,1
406,51,0,7,0,3,0,0,0,1
408,21,0,7,0,3,0,0,0,1
410,32,0,7,0,3,0,0,0,1
411,32,2,6,0,3,0,0,0,1
413,32,0,0,0,2,0,0,0,1
414,44,0,7,0,3,0,0,1,1
418,30,0,13,0,2,0,0,0,1
420,32,1,7,0,3,0,0,0,1
421,21,2,7,0,3,0,0,0,1
422,29,0,7,0,3,0,0,0,1
424,18,0,20,1,3,0,1,0,1
425,32,0,7,0,3,0,0,0,1
428,32,2,7,0,3,0,0,0,1
429,32,0,8,0,3,0,0,1,1
430,28,0,26,0,1,0,0,1,1
433,17,0,7,0,3,0,0,0,1
434,50,0,55,0,1,0,1,0,1
438,64,0,263,4,1,0,1,0,1
439,31,0,10,0,2,0,0,0,1
441,20,0,9,0,3,0,0,0,1
442,25,0,7,0,3,0,1,0,1
444,32,0,8,0,3,0,0,1,1
447,34,0,26,0,1,0,0,1,1
450,36,0,27,2,2,0,1,0,1
451,32,0,19,0,3,0,1,0,1
452,30,1,27,0,1,0,0,0,1
453,49,1,89,0,1,0,1,1,1
454,32,0,8,0,3,0,0,0,1
455,29,1,7,0,3,0,0,1,1
456,65,0,26,0,1,0,0,0,1
459,32,2,7,0,3,0,0,0,1
460,48,0,26,0,1,0,0,1,1
461,34,0,8,0,3,0,0,0,1
462,47,0,38,0,1,0,0,0,1
463,48,0,13,0,2,0,0,0,1
464,32,0,8,0,3,0,0,0,1
465,38,0,7,0,3,0,0,0,1
466,32,0,0,0,2,0,0,0,1
467,56,0,26,0,1,0,0,0,1
468,32,2,7,0,3,0,0,0,1
470,32,0,7,0,3,0,0,0,1
471,38,0,8,0,3,0,0,0,1
475,32,0,52,0,1,0,0,0,1
476,34,0,21,0,2,0,1,0,1
477,29,0,7,0,3,0,1,0,1
478,22,0,7,0,3,0,0,0,1
481,32,0,0,0,2,0,0,0,1
482,50,0,8,0,3,0,0,0,1
484,25,1,91,0,1,0,1,1,1
487,58,1,29,0,1,0,0,0,1
488,30,0,8,0,3,0,0,0,1
490,32,0,19,0,3,0,1,0,1
491,21,0,7,0,3,0,0,0,1
492,55,0,30,0,1,0,0,0,1
493,71,1,49,0,1,0,0,0,1
494,21,0,8,0,3,0,0,0,1
495,32,1,14,0,3,0,0,0,1
497,32,0,15,0,3,0,0,0,1
499,24,0,7,0,3,0,0,0,1
500,17,0,8,0,3,0,0,0,1
505,18,1,108,0,1,0,1,0,1
507,32,0,26,0,1,0,0,1,1
508,28,0,22,0,3,0,0,0,1
509,26,0,56,0,3,0,0,1,1
510,29,2,7,0,3,0,0,1,1
511,32,0,8,0,3,0,0,0,1
512,36,0,26,0,1,0,0,1,1
514,24,0,7,0,3,0,0,0,1
515,47,0,34,0,1,0,0,0,1
517,32,2,24,0,3,0,0,0,1
519,32,0,7,0,3,0,0,0,1
521,22,0,7,0,3,0,0,0,1
522,32,1,7,0,3,0,0,0,1
524,32,1,7,0,3,0,0,0,1
525,40,2,7,0,3,0,0,0,1
527,32,0,221,0,1,0,0,0,1
528,39,0,7,0,3,0,0,0,1
529,23,0,11,1,2,0,2,0,1
531,32,1,7,0,3,0,0,0,1
532,17,1,7,1,3,0,1,0,1
538,32,0,14,0,3,0,0,0,1
543,32,0,26,0,2,0,1,1,1
544,50,1,106,0,1,0,1,0,1
545,64,0,26,0,1,0,0,0,1
547,32,1,13,0,2,0,0,1,1
548,33,0,20,1,3,0,1,0,1
550,17,1,110,2,1,0,0,1,1
551,27,0,26,0,2,0,0,0,1
552,32,2,7,0,3,0,0,0,1
553,22,1,7,0,3,0,0,1,1
555,62,0,26,0,1,0,0,0,1
557,32,1,227,0,1,0,0,0,1
560,32,2,7,0,3,0,0,0,1
561,40,0,7,0,3,0,0,0,1
562,28,0,13,0,2,0,0,0,1
563,32,0,8,0,3,0,0,0,1
565,24,0,24,0,3,0,2,0,1
566,19,0,7,0,3,0,0,0,1
568,32,1,7,0,3,0,0,0,1
569,32,0,7,0,3,0,0,1,1
570,62,0,10,0,2,0,0,1,1
572,36,0,26,0,1,0,0,1,1
574,16,0,8,0,3,0,0,0,1
575,19,0,14,0,3,0,0,0,1
579,32,0,7,0,3,0,0,1,1
582,54,0,26,0,2,0,0,0,1
583,36,1,40,0,1,0,0,0,1
584,32,1,8,0,3,0,0,0,1
586,47,0,15,0,2,0,0,0,1
587,60,1,79,1,1,0,1,1,1
588,22,0,8,0,3,0,0,0,1
589,32,0,8,0,3,0,0,0,1
590,35,0,7,0,3,0,0,0,1
592,47,0,7,0,3,0,0,0,1
594,37,0,26,0,2,0,1,0,1
595,36,0,24,1,3,0,1,0,1
597,49,0,0,0,3,0,0,0,1
598,32,1,7,0,3,0,0,0,1
601,32,0,7,0,3,0,0,0,1
602,32,0,42,0,1,0,0,0,1
603,44,0,8,0,3,0,0,0,1
604,35,1,26,0,1,0,0,1,1
605,36,0,15,0,3,0,1,0,1
606,30,0,7,0,3,0,0,0,1
607,27,0,30,0,1,0,0,1,1
611,32,0,7,0,3,0,0,0,1
613,32,2,7,0,3,0,0,0,1
614,35,0,8,0,3,0,0,0,1
616,34,0,14,1,3,0,1,0,1
619,26,0,10,0,2,0,0,0,1
620,27,1,14,0,3,0,1,0,1
621,42,0,52,0,1,0,1,1,1
622,20,1,15,1,3,0,1,1,1
623,21,0,7,0,3,0,0,0,1
624,21,0,16,0,3,0,0,0,1
625,61,0,32,0,1,0,0,0,1
628,26,0,7,0,3,0,0,0,1
629,32,2,7,0,3,0,0,0,1
630,80,0,30,0,1,0,0,1,1
631,51,0,7,0,3,0,0,0,1
633,32,0,0,0,1,0,0,0,1
636,32,0,7,0,3,0,0,0,1
637,31,0,26,1,2,0,1,0,1
639,32,0,16,0,3,0,1,0,1
640,20,0,7,0,3,0,0,0,1
643,32,0,56,0,3,0,0,1,1
645,48,1,76,0,1,0,1,1,1
646,19,0,7,0,3,0,0,0,1
648,32,0,7,0,3,0,0,0,1
650,32,0,7,0,3,0,0,0,1
652,21,0,8,0,3,0,0,0,1
655,24,0,73,0,2,0,2,0,1
656,32,0,7,0,3,0,0,0,1
658,23,0,13,0,2,0,0,0,1
659,58,1,113,2,1,0,0,0,1
661,40,1,7,0,3,0,0,0,1
662,47,0,25,0,1,0,0,0,1
663,36,0,7,0,3,0,0,0,1
664,20,0,7,0,3,0,1,1,1
665,32,0,73,0,2,0,2,0,1
666,25,0,13,0,2,0,0,0,1
667,32,0,7,0,3,0,0,0,1
668,43,0,8,0,3,0,0,0,1
671,31,0,52,0,1,0,1,0,1
672,70,0,10,0,2,0,0,0,1
673,31,0,13,0,2,0,0,1,1
674,32,0,0,0,2,0,0,0,1
675,18,0,7,0,3,0,0,0,1
676,24,0,8,0,3,0,0,0,1
679,36,1,512,1,1,0,0,1,1
681,27,1,76,0,1,0,0,1,1
682,20,0,9,0,3,0,0,0,1
683,14,0,46,2,3,0,5,0,1
684,60,0,39,1,2,0,1,0,1
685,25,1,41,2,2,0,1,0,1
686,14,0,39,1,3,0,4,0,1
687,19,0,10,0,3,0,0,0,1
688,18,0,7,0,3,0,0,0,1
690,31,0,57,0,1,0,1,1,1
692,32,0,56,0,3,0,0,1,1
693,25,1,7,0,3,0,0,0,1
695,52,0,13,0,2,0,0,0,1
696,44,0,8,0,3,0,0,0,1
698,49,1,110,1,1,0,1,0,1
699,42,0,7,0,3,0,0,0,1
701,35,0,26,0,1,0,0,1,1
703,25,2,7,0,3,0,0,0,1
704,26,0,7,0,3,0,1,0,1
705,39,0,26,0,2,0,0,0,1
707,42,0,26,0,1,0,0,1,1
711,32,0,26,0,1,0,0,0,1
712,48,0,52,0,1,0,1,1,1
713,29,0,9,0,3,0,0,0,1
714,52,0,13,0,2,0,0,0,1
715,19,0,7,0,3,0,0,0,1
718,32,2,15,0,3,0,0,0,1
719,33,0,7,0,3,0,0,0,1
721,17,0,7,0,3,0,1,0,1
722,34,0,13,0,2,0,0,0,1
723,50,0,13,0,2,0,0,0,1
724,27,0,53,0,1,0,1,1,1
725,20,0,8,0,3,0,0,0,1
728,25,0,26,0,2,0,1,0,1
731,11,1,18,0,3,0,0,0,1
732,32,0,0,0,2,0,0,0,1
733,23,0,13,0,2,0,0,0,1
734,23,0,13,0,2,0,0,0,1
735,28,0,16,0,3,0,0,0,1
737,35,1,512,0,1,0,0,1,1
738,32,0,7,0,3,0,0,0,1
739,32,0,7,0,3,0,0,0,1
740,32,0,30,0,1,0,0,1,1
741,36,0,78,0,1,0,1,0,1
743,24,0,16,0,3,0,1,0,1
744,31,0,7,0,3,0,0,1,1
746,16,0,20,1,3,0,1,0,1
748,19,0,53,0,1,0,1,0,1
749,31,2,7,0,3,0,0,0,1
752,33,0,9,0,3,0,0,0,1
753,23,0,7,0,3,0,0,0,1
756,28,0,7,0,3,0,0,0,1
757,18,0,11,0,2,0,0,0,1
758,34,0,8,0,3,0,0,0,1
760,32,0,14,0,3,0,0,0,1
761,41,0,7,0,3,0,0,0,1
762,20,1,7,0,3,0,0,1,1
764,16,0,7,0,3,0,0,0,1
768,32,2,24,0,3,0,1,0,1
769,32,0,8,0,3,0,0,0,1
770,24,0,9,0,3,0,0,0,1
771,48,0,7,0,3,0,0,0,1
773,32,1,7,0,3,0,0,0,1
775,18,0,7,0,3,0,0,0,1
776,32,2,7,0,3,0,0,0,1
778,32,2,7,0,3,0,0,0,1
782,29,0,30,0,1,0,0,0,1
783,32,0,23,2,3,0,1,0,1
784,25,0,7,0,3,0,0,0,1
785,25,0,7,0,3,0,0,0,1
789,46,1,79,0,1,0,0,0,1
790,32,2,7,0,3,0,0,0,1
791,16,0,26,0,2,0,0,0,1
793,32,1,30,0,1,0,0,0,1
794,25,0,7,0,3,0,0,0,1
795,39,0,13,0,2,0,0,0,1
798,30,1,7,0,3,0,0,0,1
800,34,0,13,0,2,0,0,0,1
804,27,0,6,0,3,0,0,1,1
805,31,0,7,0,3,0,0,0,1
806,39,0,0,0,1,0,0,0,1
808,39,0,13,0,2,0,0,0,1
810,26,0,7,0,3,0,0,0,1
811,39,0,24,0,3,0,0,0,1
812,35,0,10,0,2,0,0,0,1
814,30,0,8,0,3,0,0,0,1
815,32,0,0,0,1,0,0,0,1
817,31,1,37,1,2,0,1,0,1
818,43,0,6,0,3,0,0,0,1
821,27,0,8,0,3,0,0,1,1
825,32,2,6,0,3,0,0,0,1
826,32,0,56,0,3,0,0,0,1
828,32,2,7,0,3,0,0,1,1
832,32,1,7,0,3,0,0,0,1
833,23,0,7,0,3,0,0,0,1
834,18,0,8,0,3,0,0,0,1
836,21,0,8,0,3,0,0,0,1
837,32,0,8,0,3,0,0,0,1
838,32,0,56,0,3,0,0,1,1
839,32,1,29,0,1,0,0,1,1
840,20,0,7,0,3,0,0,0,1
841,16,0,10,0,2,0,0,0,1
843,34,1,6,0,3,0,0,0,1
844,17,0,8,0,3,0,0,0,1
845,42,0,7,0,3,0,0,0,1
846,32,0,69,2,3,0,8,0,1
847,35,1,7,0,3,0,0,0,1
851,74,0,7,0,3,0,0,0,1
857,51,0,26,0,1,0,0,1,1
859,32,1,7,0,3,0,0,0,1
860,41,0,14,0,3,0,2,0,1
861,21,0,11,0,2,0,1,0,1
864,24,0,13,0,2,0,0,0,1
867,31,0,50,0,1,0,0,0,1
868,32,0,9,0,3,0,0,0,1
870,26,0,7,0,3,0,0,0,1
872,33,0,5,0,1,0,0,0,1
873,47,0,9,0,3,0,0,0,1
876,20,0,9,0,3,0,0,0,1
877,19,0,7,0,3,0,0,0,1
878,32,0,7,0,3,0,0,0,1
881,33,0,7,0,3,0,0,0,1
883,28,0,10,0,2,0,0,0,1
884,25,0,7,0,3,0,0,0,1
889,26,1,30,0,1,0,0,1,1
890,32,2,7,0,3,0,0,0,1
1,38,1,71,0,1,1,1,1,3
3,35,0,53,0,1,1,1,1,3
8,27,0,11,2,3,1,0,1,3
9,14,1,30,0,2,1,1,1,3
15,55,0,16,0,2,1,0,1,3
18,31,0,18,0,3,1,1,0,3
19,35,1,7,0,3,1,0,1,3
25,38,0,31,5,3,1,1,1,3
31,35,1,146,0,1,1,1,1,3
40,40,0,9,0,3,1,1,0,3
41,27,0,21,0,2,1,1,0,3
49,18,0,17,0,3,1,1,0,3
52,49,1,76,0,1,1,1,1,3
53,29,0,26,0,2,1,1,1,3
66,29,0,10,0,2,1,0,1,3
85,33,0,15,0,3,1,3,1,3
98,34,0,23,1,2,1,0,1,3
132,47,0,14,0,3,1,1,0,3
133,29,0,26,0,2,1,1,1,3
140,35,1,15,2,3,1,0,0,3
142,24,0,15,0,3,1,1,1,3
151,22,0,66,0,1,1,1,1,3
161,40,0,15,0,2,1,0,1,3
166,35,0,55,1,1,1,0,1,3
167,45,0,27,4,3,1,1,0,3
186,35,2,15,0,3,1,1,1,3
190,32,0,13,0,2,1,0,1,3
194,44,1,27,0,1,1,0,1,3
230,35,0,83,0,1,1,1,1,3
247,24,0,14,2,2,1,0,1,3
251,29,0,10,1,3,1,1,0,3
254,41,0,20,2,3,1,0,0,3
255,29,1,15,2,3,1,0,1,3
256,35,1,79,0,1,1,0,1,3
259,50,0,26,1,2,1,0,1,3
268,58,0,153,1,1,1,0,1,3
272,41,0,19,1,2,1,0,1,3
279,35,0,20,1,3,1,1,1,3
291,19,1,91,0,1,1,1,1,3
299,50,1,247,1,1,1,0,1,3
307,17,1,108,0,1,1,1,1,3
312,26,0,26,1,2,1,1,0,3
316,24,0,26,0,2,1,1,1,3
319,40,1,134,1,1,1,1,1,3
323,22,0,29,1,2,1,1,1,3
327,36,0,13,0,2,1,0,1,3
328,31,0,20,1,3,1,1,1,3
334,35,0,133,0,1,1,1,1,3
347,35,0,16,0,3,1,1,1,3
362,45,1,14,1,3,1,0,0,3
366,60,1,75,0,1,1,1,1,3
367,35,1,7,0,3,1,0,1,3
369,24,1,69,0,1,1,0,1,3
375,35,1,82,0,1,1,1,1,3
383,35,0,52,0,1,1,1,1,3
394,24,0,16,2,3,1,0,1,3
399,28,0,12,0,2,1,0,1,3
415,35,0,8,0,3,1,0,0,3
416,34,0,32,1,2,1,1,1,3
423,28,0,14,1,3,1,1,0,3
426,28,0,26,0,2,1,1,1,3
431,35,0,16,0,3,1,1,1,3
432,42,0,26,0,2,1,1,1,3
437,24,0,18,3,2,1,2,1,3
440,45,0,26,1,2,1,1,1,3
457,35,0,51,0,1,1,1,1,3
472,33,0,27,2,2,1,1,1,3
473,23,1,13,0,2,1,0,1,3
483,63,0,9,0,3,1,0,1,3
486,35,0,90,0,1,1,1,1,3
498,25,0,151,2,1,1,1,0,3
506,33,0,26,2,2,1,0,1,3
513,54,1,59,0,1,1,1,1,3
516,34,0,10,0,2,1,0,1,3
518,36,0,26,0,2,1,1,1,3
523,44,1,57,1,1,1,0,1,3
533,35,1,22,2,3,1,0,1,3
546,19,0,26,0,2,1,1,1,3
558,39,0,79,1,1,1,1,1,3
559,36,0,17,0,3,1,1,1,3
567,29,0,21,4,3,1,0,0,3
571,53,0,51,0,1,1,2,1,3
577,39,0,55,0,1,1,1,1,3
578,35,1,14,0,3,1,1,0,3
581,39,1,110,1,1,1,1,1,3
591,52,1,78,0,1,1,1,1,3
600,24,0,27,1,2,1,2,1,3
608,22,1,41,2,2,1,1,1,3
610,39,0,31,5,3,1,1,0,3
617,26,0,16,0,3,1,1,0,3
638,41,0,39,5,3,1,0,0,3
657,32,2,15,1,3,1,1,0,3
669,35,0,52,0,1,1,1,1,3
670,40,0,39,1,2,1,1,1,3
678,43,0,46,6,3,1,1,0,3
700,18,1,227,0,1,1,1,1,3
706,45,0,13,0,2,1,0,1,3
726,30,0,21,0,2,1,3,1,3
736,48,0,34,3,3,1,1,0,3
754,48,0,65,2,2,1,1,1,3
763,36,0,120,2,1,1,1,1,3
765,51,0,77,0,1,1,1,1,3
772,57,0,10,0,2,1,0,0,3
774,54,0,23,3,2,1,1,1,3
779,43,0,211,1,1,1,0,1,3
781,17,0,57,0,1,1,1,1,3
797,31,0,8,0,3,1,0,1,3
799,30,0,24,1,3,1,1,0,3
801,31,0,26,1,2,1,1,1,3
809,33,0,53,0,1,1,1,1,3
820,52,0,93,1,1,1,1,1,3
823,27,0,12,1,3,1,0,1,3
829,62,0,80,0,1,1,0,1,3
830,15,1,14,0,3,1,1,1,3
849,35,1,89,0,1,1,1,1,3
854,44,0,26,0,2,1,1,0,3
855,18,0,9,1,3,1,0,1,3
856,45,0,164,1,1,1,1,1,3
858,24,1,19,3,3,1,0,1,3
862,48,0,25,0,1,1,0,1,3
865,42,0,13,0,2,1,0,1,3
871,47,0,52,1,1,1,1,1,3
874,28,1,24,0,2,1,1,1,3
879,56,1,83,1,1,1,0,1,3
880,25,0,26,1,2,1,0,1,3
885,39,2,29,5,3,1,0,0,3
2,26,0,7,0,3,1,0,1,2
10,4,0,16,1,3,1,1,1,2
11,58,0,26,0,1,1,0,1,2
14,14,0,7,0,3,1,0,0,2
22,15,2,8,0,3,1,0,1,2
24,8,0,21,1,3,1,3,0,2
28,21,2,7,0,3,1,0,1,2
32,21,2,7,0,3,1,0,1,2
38,18,0,18,0,3,1,2,0,2
39,14,1,11,0,3,1,1,1,2
43,3,1,41,2,2,1,1,1,2
44,19,2,7,0,3,1,0,1,2
47,21,2,7,0,3,1,0,1,2
56,21,0,10,0,2,1,0,1,2
58,5,0,27,2,2,1,1,1,2
61,38,0,80,0,1,1,0,1,2
68,17,0,7,2,3,1,4,1,2
71,16,0,46,2,3,1,5,0,2
79,30,0,12,0,3,1,0,1,2
82,21,2,7,0,3,1,0,1,2
84,17,0,10,0,2,1,0,1,2
88,23,0,263,2,1,1,3,1,2
100,28,0,7,0,3,1,0,0,2
106,21,0,7,0,3,1,0,1,2
109,21,2,24,0,3,1,1,1,2
111,14,1,14,0,3,1,1,0,2
113,20,0,9,0,3,1,1,0,2
114,17,1,14,0,3,1,0,0,2
119,2,0,31,2,3,1,4,0,2
123,32,0,13,0,2,1,0,1,2
128,21,1,22,1,3,1,1,1,2
136,19,0,26,2,1,1,0,1,2
141,22,0,7,0,3,1,0,1,2
147,9,0,34,2,3,1,2,0,2
156,16,2,7,0,3,1,0,1,2
172,1,0,11,1,3,1,1,1,2
177,50,1,28,0,1,1,0,0,2
180,21,0,69,2,3,1,8,0,2
184,4,0,22,2,3,1,0,1,2
192,19,0,7,0,3,1,1,1,2
195,58,1,146,0,1,1,0,1,2
198,21,2,7,0,3,1,0,1,2
199,24,0,13,0,2,1,0,0,2
205,2,0,10,1,3,1,0,0,2
208,16,2,7,0,3,1,0,1,2
211,35,0,21,0,2,1,0,1,2
215,31,1,113,0,1,1,1,1,2
216,27,0,7,0,3,1,0,1,2
218,32,1,76,0,1,1,0,1,2
229,21,0,25,1,3,1,3,0,2
233,5,0,31,2,3,1,4,1,2
235,21,0,7,0,3,1,0,0,2
237,8,0,26,2,2,1,0,1,2
